AJJ,Arakkonam JN,RU,Renigunta Jn.,13-2-2018,31-12-2999,S,B,CC+8,Y,N
AJJ,Arakkonam JN,TI,Tiruninravur,1-1-2008,31-12-2999,S,B,CC+8,Y,N
AVD,Avadi,AVDT,Tube Products of India Siding,1-1-2008,31-12-2999,S,G,CC+8,Y,N
AVD,Avadi,FCSA,"FOOD CORPORATION OF INDIA SDG,AVADI",1-1-2008,31-12-2999,S,G,CC+8,Y,N
AVD,Avadi,HC,Hindu College,1-1-2008,31-12-2999,S,B,CC+8,Y,N
AVD,Avadi,SSAS,SOUTHERN STRUCTURALS SIDING,1-1-2008,17-3-2010,S,G,NA,Y,N
AVD,Avadi,SSAS,SOUTHERN STRUCTURALS SIDING,18-3-2010,31-12-2999,S,G,CC+6,N,N
BBQ,Basin Bridge Jn.(Madras),KOK,Korukkupet,1-1-2008,31-12-2999,S,B,CC+8,Y,N
BBQ,Basin Bridge Jn.(Madras),SO,Chennai Salt Cotaurs,1-1-2008,1-7-2015,S,G,CC+8,Y,N
BBQ,Basin Bridge Jn.(Madras),SO,Chennai Salt Cotaurs,2-7-2015,31-12-2999,S,G,CC+8,N,N
BBQ,Basin Bridge Jn.(Madras),VPY,Veysarpadi,1-1-2008,31-12-2999,S,B,CC+8,Y,N
BBQ,Basin Bridge Jn.(Madras),WST,Washermanpet,1-1-2008,31-12-2999,S,B,CC+8,Y,N
CGL,Chengalpattu Jn.,AJJ,Arakkonam JN,1-1-2008,5-10-2012,S,B,CC+6,Y,N
CGL,Chengalpattu Jn.,AJJ,Arakkonam JN,6-10-2012,13-10-2012,S,C,CC+6,Y,N
CGL,Chengalpattu Jn.,AJJ,Arakkonam JN,13-4-2019,15-4-2019,S,B,NA,N,N
CGL,Chengalpattu Jn.,AJJ,Arakkonam JN,16-4-2019,31-12-2999,S,B,NA,N,N
CGL,Chengalpattu Jn.,CJ,Kanchipuram,14-10-2012,2-4-2016,S,B,CC+6,Y,N
CGL,Chengalpattu Jn.,CJ,Kanchipuram,3-4-2016,31-12-2999,S,B,CC+8,Y,N
CGL,Chengalpattu Jn.,VM,Villupuram Jn.,1-1-2008,2-4-2016,S,B,CC+6,Y,N
CGL,Chengalpattu Jn.,VM,Villupuram Jn.,3-4-2016,31-12-2999,S,B,CC+8,Y,N
CHIC,Port Side Container Terminal at HOM,RPM,Royapuram,7-7-2010,30-6-2014,S,G,CC+8,Y,N
CHIC,Port Side Container Terminal at HOM,RPM,Royapuram,1-7-2014,31-12-2999,S,G,CC+8,N,N
CJ,Kanchipuram,AJJ,Arakkonam JN,14-10-2012,2-4-2016,S,C,CC+6,Y,N
CJ,Kanchipuram,AJJ,Arakkonam JN,3-4-2016,2-5-2019,S,C,CC+8,Y,N
CJ,Kanchipuram,AJJ,Arakkonam JN,3-5-2019,28-5-2019,S,C,CC+8,Y,N
CJ,Kanchipuram,AJJ,Arakkonam JN,29-5-2019,31-12-2999,S,B,CC+8,Y,N
CTRE,Chitteri,MCN,Mukundarayapuram,1-1-2008,13-11-2020,S,B,CC+8,Y,N
CTRE,Chitteri,MCN,Mukundarayapuram,14-11-2020,14-11-2020,S,B,CC+8,Y,N
CTRE,Chitteri,MLLT,"Ultra Tech cement Ltd Siding, Arakkonam",1-1-2008,31-12-2999,S,G,CC+8,Y,N
CTRE,Chitteri,WJR,Walajah Road,15-11-2020,31-12-2999,S,B,CC+8,Y,N
ELR,Elavur,ELRA,"ADANI AGRI LOGISTICS LTD PVT SIDING, ELAVUR",1-1-2008,14-7-2010,S,G,NA,Y,N
ELR,Elavur,ELRA,"ADANI AGRI LOGISTICS LTD PVT SIDING, ELAVUR",15-7-2010,31-12-2999,S,G,CC+8,Y,N
ELR,Elavur,ELRS,ELECTRO STEEL CASTING LTD SIDING,1-1-2008,31-12-2999,S,G,CC+8,Y,N
ELR,Elavur,GDR,Gudur Jn.,1-1-2008,31-12-2999,S,B,CC+8,Y,N
ENR,Ennore,AIPH,HINDUSTHAN PETROLEUM CORPORATION LIMITED PRIVATE SIDING,10-5-2013,10-5-2013,S,G,CC+6,Y,N
ENR,Ennore,AIPP,Attipattu Pudu Nagar.H,1-1-2008,31-12-2999,S,B,CC+8,Y,N
ENR,Ennore,COF,"COROMANDEL FERTILISER SDG, ENNORE",1-1-2008,2-12-2011,S,G,CC+6,Y,N
ENR,Ennore,COF,"COROMANDEL FERTILISER SDG, ENNORE",3-12-2011,31-12-2999,S,G,CC+8,Y,N
